recipe_list_url,recipe_name,recipe_url,recipe_long_name,ingredients,recipe,tags,times,servings
https://www.tarladalal.com/recipes-for-veg-recipes-gujarati-24?pageindex=24,Moong Dal Khandvi ( Know Your Flours ),https://www.tarladalal.com/moong-dal-khandvi--know-your-flours--33164r,Moong Dal Khandvi ( Know Your Flours ) recipe - How to make Moong Dal Khandvi ( Know Your Flours ),"1 cup yellow moong dal (split yellow gram) flour
 1 cup curds (dahi)
 2 tsp ginger-green chilli paste
 1/4 tsp pinch turmeric powder (haldi)
 1/2 tsp asafoetida (hing)
 salt to taste
 1 tbsp oil
 1 tsp mustard seeds ( rai / sarson)
 1 tsp sesame seeds (til)
 3 to 4 curry leaves (kadi patta)
 oil for greasing
 For The Garnish:
 2 tbsp finely chopped coriander (dhania)","Method
Combine the moong dal flour, curds, ginger-green chilli paste, turmeric powder, ¼ tsp asafoetida, salt and ¼ cup of water in a deep non-stick pan and mix very well.
Cook on a slow flame, while stirring continuously till it becomes thick (approx. 4 to 5 minutes).
Spread a spoonful of the batter on a greased thali and wait for a few seconds and try to roll up, if it doesn’t then cook for few more minutes, check once more till done.
Divide the batter into two equal portions.
Spread each portion on reverse greased side of 2 thalis (approximately 10"" in diameter) evenly to make a thin uniform layer using a spatula while the batter is still hot.
When cool, cut the khandvi on each thali lengthwise (approx. 1½"" in width) into equal portions and roll up each gently.
Repeat with the remaining thali and place khandvis in a serving plate. Keep aside.
For the tempering, heat the oil in a small pan and add the mustard seeds.
When the seeds crackle, add the sesame seeds and remaining ¼ tsp asafoetida and pour it over the khandvis. Serve immediately garnished with coriander.",Gujarati Farsans,"Preparation Time: 5 mins, Cooking Time: 5 mins, Total Time: 10 mins ,         ",4
https://www.tarladalal.com/recipes-for-veg-recipes-gujarati-24?pageindex=24,Rajgira Paratha Canapes,https://www.tarladalal.com/rajgira-paratha-canapes-33165r,Rajgira Paratha Canapes recipe - How to make Rajgira Paratha Canapes,"For The Farali Paratha Canapés:
 1 cup rajgira (amaranth) flour
 1 tbsp oil
 rock salt (sendha namak) to taste
 1/4 tsp oil for greasing
 For The Aloo Subzi:
 1 tbsp oil
 1/2 tsp cumin seeds (jeera)
 1 tsp finely chopped green chillies
 1 cup boiled and peeled potato cubes
 salt to taste
 1 tbsp finely chopped coriander (dhania)
 4 tsp farali green chutney
 For The Garnish:
 2 tsp freshly grated coconut","For the paratha canapés
In a bowl add rajgira flour, oil and rock salt, mix well.
Knead into a soft dough using very little water if required.
Divide the dough into 16 equal portions.
To prevent sticking of the sticky rajgira dough, drizzle a small amount of oil into a zip lock bag and spread it around with a brush.
Gently press the dough ball flat. Then, use the other half of the zip lock bag or a sheet of plastic wrap to cover the dough.
Place each dough portion between a greased zip lock bag or two sheets of plastic wrap. Use the back of a small, round container (vati or katori) to press each portion into a thin circle 1 inch (25 mm) in diameter.
Transfer the rolled dough circles to a greased baking sheet. Prick each canapé with a fork.
Bake in a pre-heated oven at 180°c (360°f) for 10 minutes.
Flip over and bake the other side for 10 minutes.
Rajgira canapé base is ready.
For the aloo subzi
Heat the oil in a non- stick kadhai, add the cumin seeds.
When the seeds crackle, add the green chillies, potatoes and rock salt, mix well and cook for 3 to 5 minutes on a medium flame, stirring twice in between.
Add the coriander and mix well, divide into 16 equal portions and keep aside.
Rajgira paratha canapés
Arrange the paratha canapés on a serving platter, top each canapé with a portion of the aloo sabzi and then a little green chutney.
Serve the rajgira paratha canapes  immediately garnished with coconut.","Gujarati  Faral, Faraal
Maharashtrian Upvas (Fasting)
Indian Snacks for Entertaining
Baked Snacks
Evening Tea Snacks
Baked
Mahashivaratri","Preparation Time: 20 mins, Cooking Time: 10 mins, Total Time: 50 mins ,         Baking Time:   20 Minutes   Baking Temperature:   180° C (360° F)   ",16
https://www.tarladalal.com/recipes-for-veg-recipes-gujarati-24?pageindex=24,Gavar Pumpkin Vegetable ( Nutritious Recipe For Pregnancy),https://www.tarladalal.com/gavar-pumpkin-vegetable--nutritious-recipe-for-pregnancy-22465r,Gavar Pumpkin Vegetable ( Nutritious Recipe For Pregnancy) recipe - How to make Gavar Pumpkin Vegetable ( Nutritious Recipe For Pregnancy),"2 cups cluster beans (gavarfali) , cut into 25 mm.  (1"") pieces
 2 cups red pumpkin (bhopla / kaddu) cubes
 1 tsp cumin seeds (jeera)
 1/2 tsp carom seeds (ajwain)
 1/4 tsp asafoetida (hing)
 1 tsp chilli powder
 1/2 tsp turmeric powder (haldi)
 2 tsp coriander-cumin seeds (dhania-jeera) powder
 1 tsp oil
 salt to taste
 For The Garnish:
 1 tbsp chopped coriander (dhania)","Method
Heat the oil in a non-stick pan and add the cumin seeds. When the seeds crackle, add the ajwain and asafoetida.
Add the cluster beans, pumpkin, chilli powder, turmeric powder and salt and sauté for 2 to 3 minutes.
Add 2 cups of water and bring to a boil.
Add the coriander-cumin seed powder, cover and simmer for 20 minutes or till the cluster beans are cooked.
Mash the pumpkin to make a gravy and serve hot, garnished with coriander.","Gujarati Shaak Sabzi
Sabzis with Gravies
Saute
Indian Party
Non Stick Kadai Veg
Indian Cancer Patients
Pregnancy Fiber Rich","Preparation Time: 10 mins, Cooking Time: 25 mins, Total Time: 35 mins ,         ",4
https://www.tarladalal.com/recipes-for-veg-recipes-gujarati-24?pageindex=24,Vegetable Handva ( Microwave Recipe),https://www.tarladalal.com/vegetable-handva--microwave-recipe-34558r,Vegetable Handva ( Microwave Recipe) recipe - How to make Vegetable Handva ( Microwave Recipe),"4 1/2 tsp oil for greasing and tempering
 3/4 cup idli batter ,  readily available in the market
 1 tbsp curds (dahi)
 1/2 cup grated bottle gourd (doodhi / lauki)
 1/4 cup grated carrot
 a pinch of turmeric powder (haldi)
 1/2 tsp chilli powder
 1/2 tsp coriander-cumin seeds (dhania-jeera) powder
 1/2 tsp ginger-garlic (adrak-lehsun) paste
 1/2 tsp green chilli paste
 1 tsp sugar
 salt to taste
 1/2 tsp fruit salt
 1/2 tsp mustard seeds ( rai / sarson)
 1/2 tsp cumin seeds (jeera)
 1 tsp sesame seeds (til)
 1/4 tsp carom seeds (ajwain)
 a pinch of asafoetida (hing)
 For Serving:
 green chutney","Method
Grease a 125 mm. (5”) diameter microwave safe dish using ¼ tsp oil and keep aside.
Combine the idli batter, curds, bottle gourd, turmeric powder, chilli powder, coriander-cumin seeds powder, ginger-garlic paste, green chilli paste, sugar and salt in a bowl, mix well and keep aside.
Just before serving, add the fruit salt to the batter and sprinkle 1 tsp of water over it.
When the bubbles form, mix gently.
Pour the batter into a gresed dish and tilt it clockwise to spread the batter evenly. Keep aside.
Combine the remaining 4 tsp of oil, mustard seeds, cumin seeds, sesame seeds, carom seeds and asafoetida in a microwave safe bowl and microwave on HIGH for 2 minutes.
Pour this tempering evenly over the handva and microwave on HIGH for 4 minutes.
Cut into pieces and serve immediately with green chutney.","Gujarati Farsans
Indian Snacks for Entertaining
Microwave
Microwave
Quick Snacks / Quick Starters","Preparation Time: 10 mins, Cooking Time: 6 mins, Total Time: 16 mins ,         ",4
https://www.tarladalal.com/recipes-for-veg-recipes-gujarati-24?pageindex=24,Makai Jajaria ( Pressure Cooking ),https://www.tarladalal.com/makai-jajaria--pressure-cooking--33373r,Makai Jajaria ( Pressure Cooking ) recipe - How to make Makai Jajaria ( Pressure Cooking ),"3/4 cup grated sweet corn kernels (makai ke dane) cobs
 1 tbsp grated low fat mava (khoya)
 1/2 cup sugar
 1/4 cup warm milk
 1/4 tsp cardamom (elaichi) powder
 1 tbsp ghee
 For The Garnish:
 a few saffron (kesar) strands
 1 tbsp almond (badam) slivers","Method
Heat the ghee in a pressure cooker, add the sweet corn and mava and sauté on a medium flame for 5 minutes.
Add the sugar and warm milk and ¼ cup of hot water, mix well and pressure cook on a high flame for 2 whistles.
Lower the flame and pressure cook for another whistle.
Allow the steam to escape using quick release method, (refer handy tip) before opening the lid. Serve immediately garnished with saffron and almonds.
Handy tip:
Quick release method: also called the cold-water release method, it is used to release pressure quickly. To use this method, remove the pressure cooker from the burner, place in the sink and run cold water gently over the lid until the steam dissipates.
When putting the pressure cooker in the sink, tilt the handle up so the water flows away from you. Quick release works best for foods where you need to control the timing and degree of cooking.","Gujarati Sweet Mithai
Traditional Indian Mithai
Indian Pressure Cooker
Raksha - Bandhan","Preparation Time: 10 mins, Cooking Time: 15 mins, Total Time: 25 mins , Whistles:   High 2, Low 1           ",4
https://www.tarladalal.com/recipes-for-veg-recipes-gujarati-24?pageindex=24,"Healthy Oondhiya, Healthy Diabetic Recipe",https://www.tarladalal.com/healthy-oondhiya-healthy-diabetic-recipe-33681r,"Healthy Oondhiya, Healthy Diabetic Recipe recipe - How to make Healthy Oondhiya, Healthy Diabetic Recipe","For The Baked Methi Muthias:
 1 1/2 cups chopped fenugreek (methi) leaves
 1/2 cup whole wheat flour (gehun ka atta)
 1/2 cup besan (bengal gram flour)
 1 tsp ginger-green chilli paste
 2 tsp sugar substitute
 2 tsp lemon juice
 1/2 tsp turmeric powder (haldi)
 1 tsp fruit salt
 1 tsp oil
 salt to taste
 To Be Mixed Into A Masala:
 1 cup chopped coriander (dhania)
 1/2 cup beaten rice (poha)
 1/4 cup finely chopped green garlic (hara lehsun)
 1 tsp ginger-green chilli paste
 1 tsp chilli powder
 2 tsp sugar substitute
 1/2 tsp carom seeds (ajwain)
 1/4 tsp turmeric powder (haldi)
 1/4 tsp asafoetida (hing)
 salt to taste
 For The Oondhiya:
 2 1/2 cups surti papadi
 salt to taste
 1/2 purple yam (kand) , peeled and cut into cubes
 1/2 cup baby potatoes , peeled
 5 to 7 small brinjals (baingan / eggplant)
 1/2 cup green peas
 1/2 cup fresh toovar
 1/2 cup sliced tendli (ivy gourd)
 3 drumsticks  ,  cut into 3"" pieces
 1/2 tsp carom seeds (ajwain)
 a pinch baking soda
 Other Ingredients:
 1/8 tsp oil brush (for greasing)
 1 tbsp chopped coriander (dhania)","For the baked methi muthias
Combine all the ingredients together in a bowl and knead into a soft dough using a little water.
Divide the dough into 15 equal portions, shape into even sized rounds and flatten them by placing between your palms.
Place on a greased baking tray and bake in a pre-heated oven at 200°c (400°f) for 7 to 8 minutes. Keep aside.
For the oondhiya
String the surti papadi taking care not to separate the 2 sides.
Wash the papadi, add the carom seeds, soda bi-carb and salt and mix well.
Make criss-cross slits in the purple yam, baby potatoes and brinjals taking care not to separate the segments.
Divide the masala mixture into 2 equal portions and fill one portion of the masala mixture into the slits of purple yam, potatoes and brinjals. Keep the remaining masala mixture aside.
Combine the surti papadi, stuffed vegetables, green peas, toovar, tendli,  drumsticks and the  remaining masala mixture with 3½ cups of water and pressure cook for 2 whistles. Keep aside.
How to proceed
Just before serving, transfer the cooked oondhiya into a large serving dish, add the methi muthias and toss lightly.
Serve hot garnished with the coriander.
Disclaimer:
It is highly recommended that this recipe be relished by diabetics only occasionally and in small quantities. This is just a mere ‘treat’ and does not qualify for a regular diabetic menu.","Gujarati Shaak Sabzi
Gujarati One Dish Meal
Traditional Indian Sabzis
Oven
Diabetic Sabzis
Calcium Rich Sabzi, Vegetables","Preparation Time: 15 mins, Cooking Time: 30 mins, Total Time: 57 mins ,         Baking Time:  10 to 12 minutes   Baking Temperature:  200°C (400°F)   ",6
https://www.tarladalal.com/recipes-for-veg-recipes-gujarati-24?pageindex=24,Vegetable Corn Bake ( Diabetic Recipe ),https://www.tarladalal.com/vegetable-corn-bake--diabetic-recipe--33775r,Vegetable Corn Bake ( Diabetic Recipe ) recipe - How to make Vegetable Corn Bake ( Diabetic Recipe ),"1 cup besan (bengal gram flour)
 1/4 cup grated sweet corn kernels (makai ke dane)
 1/4 cup grated cabbage
 1/4 cup shredded spinach (palak)
 1/4 cup grated carrot
 1 tsp ginger-green chilli paste
 salt to taste
 1/2 tsp sugar
 2 tbsp finely chopped coriander (dhania)
 1 tsp fruit salt
 1/4 tsp oil for greasing
 1 tsp oil for cooking
 1/2 tsp mustard seeds ( rai / sarson)
 1 tsp sesame seeds (til)
 a pinch asafoetida (hing)
 For The Garnish:
 1 tbsp finely chopped coriander (dhania)","Method
Combine the besan, corn, cabbage, spinach, carrots, ginger-green chilli paste, salt, sugar, coriander and ¼ cup of water together in a bowl and mix well.
Add the fruit salt and sprinkle some water over it. When the bubbles form, mix gently.
Pour the batter into a greased 150 mm (6”) diameter oven-proof baking dish and bake in a pre-heated oven at 180 c (360 f) for 20 to 25 minutes. Keep aside to cool.
For the tempering, heat the oil in a small non-stick pan and add the mustard seeds.
When the seeds crackle, add the sesame seeds and asafoetida and sauté for a second.
Remove from the flame, add 2 tbsp of water and pour the mixture over the vegetable corn bake.
When cool, cut into 16 equal portions.
Serve immediately garnished with the coriander.
Disclaimer:
It is highly recommended that this recipe be relished by diabetics only occasionally and in small quantities. This is just a mere ‘treat’ and does not qualify for a regular diabetic menu.","Gujarati Farsans
Jain Naashta
Baked
Oven
Diabetic Breakfast
Diabetic  Starters & Snacks","Preparation Time: 10 mins, Cooking Time: 0 mins , Total Time: 40 mins ,     Baking Time:  25 to 30 minutes   Baking Temperature:      180ºC (360ºF)       ",12
https://www.tarladalal.com/recipes-for-veg-recipes-gujarati-24?pageindex=24,Paneer Matar Kodri ( Diabetic Recipe ),https://www.tarladalal.com/paneer-matar-kodri--diabetic-recipe--33778r,Paneer Matar Kodri ( Diabetic Recipe ) recipe - How to make Paneer Matar Kodri ( Diabetic Recipe ),"For Paneer Matar Kodri:
 2 tsp oil
 1/2 tsp cumin seeds (jeera)
 1/4 cup finely chopped onions
 1/2 tsp garlic (lehsun) paste
 1/2 tsp ginger-green chilli paste
 1/2 tsp dried fenugreek leaves  (kasuri methi)
 1/2 cup blanched tomatoes , finely chopped
 1 tsp chilli powder
 1/2 tsp garam masala
 a pinch of sugar
 1/2 cup chopped low fat paneer( cottage cheese)
 1/4 cup boiled green peas
 salt to taste
 2 1/2 cups of cooked kodri (varagu)
 For The Garnish:
 2 tbsp finely chopped coriander (dhania)","For paneer matar kodri
To make 
paneer matar kodri
 heat the oil in a non-stick kadhai and add the cumin seeds.
When the seeds crackle, add the onions, garlic paste, ginger- green chilli paste and dried fenugreek leaves, mix well and sauté over a medium flame till the onions turn light brown in colour, while stirring continuously.
Add the blanched tomatoes, chilli powder, garam masala, sugar and ¼ cup of water, mix well and sauté over a medium flame for 4 to 5 minutes, stirring once in between.
Add the paneer, green peas,  cooked kodri, salt and mix gently and cook over a medium flame for another 2 minutes.
Serve  paneer matar kodri pulao hot garnished with coriander.","Gujarati Khichdi 
Non Stick Kadai Veg
Diabetic Khichdi, Diabetic Brown Rice
Lunch Pulao Rice","Preparation Time: 20 mins, Cooking Time: 20 mins, Total Time: 40 mins ,         ",4
https://www.tarladalal.com/recipes-for-veg-recipes-gujarati-24?pageindex=24,Sweet Faraali Pancakes ( Faraal Recipe),https://www.tarladalal.com/sweet-faraali-pancakes--faraal-recipe-33296r,Sweet Faraali Pancakes ( Faraal Recipe) recipe - How to make Sweet Faraali Pancakes ( Faraal Recipe),"For Sweet Faraali Pancakes:
 1 cup sanwa millet (sama)
 1/2 cup buckwheat (kuttu or kutti no daro)
 1 cup grated coconut
 1/2 cup grated jaggery (gur)
 1/2 cup mashed banana
 a pinch of rock salt (sendha namak)
 1/4 tsp cardamom (elaichi) powder
 ghee for greasing and cooking","For sweet faraali pancakes
To make, clean, wash and soak the sanwa millet and buckwheat separately in enough water for atleast 1 hour. Drain and keep aside.
Blend the sanwa millet along with ¼ cup of water in a mixer and blend till  smooth.
Blend the buckwheat by adding 2 tbsp of water in a mixer till smooth.
Combine the samwa paste, buckwheat paste, coconut, jaggery, banana, rock salt and cardamom powder in a deep bowl and mix very well with your hands.
Heat a non-stick tava (griddle), grease it with little ghee, pour a ladleful of the batter and spread it in a circular motion to make a 100 mm. (4"") diameter thin pancake.
Cook, using little ghee, till it turns golden brown in colour from both the sides.
Repeat with the remaining batter to make 12 more pancakes.
Serve the sweet faraali pancakes sweet faraali pancakes
 immediately.","Gujarati  Faral, Faraal
Indian Sweet Pancakes / Crepes
Sankashti Chaturthi Recipes
Mahashivaratri
Janmashtami
Navratri Vrat 
Shravan","Preparation Time: 10 mins, Cooking Time: 30 mins, Total Time: 40 mins ,         ",13
https://www.tarladalal.com/recipes-for-veg-recipes-gujarati-24?pageindex=24,Subzi Kadhi,https://www.tarladalal.com/subzi-kadhi-22177r,Subzi Kadhi recipe - How to make Subzi Kadhi,"2 tbsp besan (bengal gram flour)
 2 cups low fat curds  (dahi) , beaten
 1 tsp ginger-green chilli paste
 2 curry leaves (kadi patta)
 2 tbsp sugar
 salt to taste
 1/2 tsp cumin seeds (jeera)
 1/2 tsp mustard seeds ( rai / sarson)
 a pinch of asafoetida (hing)
 1 whole dry kashmiri red chilli , broken into pieces
 1 cup chopped and boiled mixed vegetables (carrots ,  french beans and cauliflower)
 2 tbsp chopped coriander (dhania) for garnishing","Main procedure
Whisk the besan and curds together till smooth and free of lumps.
Add the ginger-green chilli paste, curry leaves, sugar, salt and 2 cups of water and keep aside.
Heat a non-stick pan on a medium flame and when hot, add the cumin seeds and mustard seeds and dry roast for 30 seconds.
Add the asafoetida and red chilli and again dry roast for a few seconds.
Add the besan-curds mixture and mixed vegetables and bring to boil.
Lower the flame and simmer for a few minutes while stirring continuously.
Serve hot garnished with coriander.","Collection of Gujarati Dals / Kadhis
Kadhi recipes from all across India
Low Calorie Dals, Low Calorie Kadhis
Saute
Boiled
Non-stick Pan
Quick Dals / quick Kadhis","Preparation Time: 2 mins, Cooking Time: 15 mins, Total Time: 17 mins ,         ",4
https://www.tarladalal.com/recipes-for-veg-recipes-gujarati-24?pageindex=24,Mini Oats Khakhra,https://www.tarladalal.com/mini-oats-khakhra-39095r,Mini Oats Khakhra recipe - How to make Mini Oats Khakhra,"For Mini Oats Khakhra:
 1/2 cup quick cooking rolled oats flour  ,  refer handy tip
 1/2 cup whole wheat flour (gehun ka atta)
 2 tsp sesame seeds (til)
 1/2 tsp chilli powder
 a pinch of turmeric powder (haldi)
 salt to taste
 2 tsp oil
 whole wheat flour (gehun ka atta) for rolling
 3 tsp oil for cooking","For mini oats khakhra
To make 
mini oats khakhra
, combine all the ingredients and knead into a firm dough using a little water.
Divide the dough into 12 equal portions and roll out each portion into a 75 mm. (3"") diameter thin circle, using a little wheat flour for rolling.
Heat a non-stick tava (griddle) and cook each khakhra on a slow flame till pink spots appear on both the sides.
Apply ¼ tsp of oil and continue cooking the khakhra on a slow flame, while pressing with a folded muslin cloth or a khakhra press, till it turns crisp and brown from both the sides.
Cool and store the mini oats khakhra in an air-tight container.
Handy tip:
To get ½ cup of oats flour, grind ½ cup of quick cooking rolled oats in a mixer and use as required.","Gujarati  Dry Snacks
Gujarati Breakfast
Jain Paryushan
Low Cal Breakfast
Breakfast Khakhras
Jain Snacks
Indian Jar Snacks","Preparation Time: 15 mins, Cooking Time: 25 mins, Total Time: 40 mins ,         ",12
