recipe_list_url,recipe_name,recipe_url,recipe_long_name,ingredients,recipe,tags,times,servings
https://www.tarladalal.com/recipes-for-veg-recipes-maharashtrian-52?pageindex=3,"Vegetable Upma, South Indian Style Vegetable Rava Upma",https://www.tarladalal.com/vegetable-upma-south-indian-style-vegetable-rava-upma-40643r,"Vegetable Upma, South Indian Style Vegetable Rava Upma recipe - How to make Vegetable Upma, South Indian Style Vegetable Rava Upma","For Vegetable Upma:
 1 cup chopped and boiled mixed vegetables
 1 cup semolina (rava / sooji)
 1 tbsp oil
 1 tsp mustard seeds ( rai / sarson)
 1 tsp urad dal (split black lentils)
 1/4 tsp asafoetida (hing)
 1/2 cup finely chopped onions
 5 to 6 curry leaves (kadi patta)
 2 tsp ginger-green chilli paste
 salt to taste
 2 tbsp chopped coriander (dhania)
 1 tbsp lemon juice","For vegetable upma
To make 
vegetable upma
, heat the oil in a deep non-stick pan, add the mustard seeds, urad dal, asafoetida, onions and curry leaves and sauté on a medium flame for 1 to 2 minutes.
Add the semolina and sauté on a medium flame for 2 to 3 minutes.
Add the 3½ cups of hot water, mixed vegetables, ginger-green chilli paste and salt, mix well and cook on medium flame for 2 minute, while stirring occasionally.
Add the coriander and lemon juice, mix well and cook on medium flame for 1 minute, while stirring occasionally.
Serve the 
 immediately.","Tags


Maharashtrian Breakfast
Quick breakfast
Breakfast Upma, Poha
Non-stick Pan
Quick Breakfast Indian","Preparation Time: 15 mins, Cooking Time: 8 mins, Total Time: 23 mins ,         ",4
https://www.tarladalal.com/recipes-for-veg-recipes-maharashtrian-52?pageindex=3,"Roasted Corn On The Cob, Mumbai Roadside Monsoon Bhutta",https://www.tarladalal.com/roasted-corn-on-the-cob-mumbai-roadside-monsoon-bhutta-41903r,"Roasted Corn On The Cob, Mumbai Roadside Monsoon Bhutta recipe - How to make Roasted Corn On The Cob, Mumbai Roadside Monsoon Bhutta","2 sweet corn cobs
 1 tsp chilli powder
 1/2 tsp salt
 1 tbsp melted butter
 1 lemon , cut into halves and deseeded","Method
Combine the chilli powder and salt in a small bowl and mix well.
Roast the corn cob on an open flame, till black sports appear on all the sides.
Once roasted the corn cob, brush ½ tbsp of melted butter evenly over it.
Take one lemon halve, dip in the chilli-salt mixture and rub it all over the roasted corn cob, while squeezing the lemon halve lightly.
Repeat step 2 to 4 to make 1 more roasted corn cob.
Serve immediately.","Tags


Kids Recipes
Mumbai Street Food
Indian Party
Quick Snacks / Quick Starters
Quick Indian recipes for Kids
Kids After School
Monsoon Snacks, Evening Snacks","Preparation Time: 2 mins, Cooking Time: 15 mins, Total Time: 17 mins ,         ",2
https://www.tarladalal.com/recipes-for-veg-recipes-maharashtrian-52?pageindex=3,How To Make Hung Curd,https://www.tarladalal.com/how-to-make-hung-curd-42765r,How To Make Hung Curd recipe - How to make How To Make Hung Curd,"For Hung Curd:
 2 cups curd (dahi)","For making hung curd
To make 
hung curd
, in a deep bowl, place a strainer and put the muslin cloth over it.
Add the curd and tie the edges of the muslin cloth together.
Hang the curd in a cool place for at least 1 hour to remove the whey. Alternately you can place a heavy weight on the curd.
Transfer to a bowl.
Use the 
 immediately or store in the fridge for up to 2 days and use as required.
To get hung curd for desserts
Hang the curds for atleast 3 hours and it will yield ¾ cup.","Tags


Indian Veg Recipes
Maharashtrian Sweet Dishes
Side Dishes
Basic Indian Dessert Recipes","Preparation Time: 2 mins, Cooking Time: 0 mins , Total Time: 2 mins ,         ",1
https://www.tarladalal.com/recipes-for-veg-recipes-maharashtrian-52?pageindex=3,"Masale Bhat, Maharashtrian Masala Bhat",https://www.tarladalal.com/masale-bhat-maharashtrian-masala-bhat-42881r,"Masale Bhat, Maharashtrian Masala Bhat recipe - How to make Masale Bhat, Maharashtrian Masala Bhat","For Masale Bhat:
 3 tbsp oil
 2 bay leaves (tejpatta)
 25 mm cinnamon (dalchini)
 3 cardamoms (elaichi)
 5 peppercorns (kalimirch)
 4 cloves (laung / lavang)
 1/4 cup broken cashew nuts (kaju)
 1/2 tsp mustard seeds ( rai / sarson)
 1/2 tsp cumin seeds (jeera)
 8 to 10 curry leaves (kadi patta)
 a pinch of asafoetida (hing)
 1/4 cup finely chopped onions
 1/2 tsp ginger (adrak) paste
 1/2 tsp garlic (lehsun) paste
 1/2 tsp green chilli paste
 1/4 cup finely chopped tomatoes
 1/4 tsp turmeric powder (haldi)
 1 tsp chilli powder
 1 tbsp goda masala
 1 tsp coriander (dhania) powder
 1/2 tsp garam masala
 1/4 cup sliced tendli (ivy gourd)
 1/4 cup green peas
 1/4 cup cauliflower florets
 1/4 cup chopped carrot
 1/4 cup potato cubes
 1/4 cup brinjal (baingan / eggplant) cubes
 1 cup wada kolum rice (chawal) , soaked for 15 minutes and drained
 salt to taste
 1 tsp ghee
 For The Garnish:
 2 tbsp freshly grated coconut
 2 tbsp finely chopped coriander (dhania)","For masale bhat
To make 
masale bhat
, heat the oil in a deep pan or a handi and add the bayleaves, cinnamon, cardamom, peppercorns and cloves and sauté on a medium flame for 1 minute.
Add the mustard seeds, cumin seeds and sauté on a medium flame for 30 seconds.
Add the curry leaves, asafoetida and onions and sauté on a medium flame for 1 to 2 minutes.
Add the ginger paste, garlic paste and green chilli paste and sauté on a medium flame for 1 minute.
Add the tomatoes, turmeric powder, chilli powder, goda masala, coriander powder and garam masala and sauté on a medium flame for 1 minute.
Add tendli, carrots, cauliflower, green peas, brinjal, potatoes and cashews, mix well and cover with a lid and cook on a medium flame for 2 minutes, while stirring occasionally.
Add the rice, 3 cups of water, salt and ghee, mix well and cover with a lid and cook on a medium flame for 10 to 12 minutes, while stirring occasionally.
Lower the flame and cook for 3 minutes, while stirring occasionally.
Serve the 
 hot garnished with coconut and coriander.","Tags


Maharashtrian Bhaat (Rice)
One Dish Vegetarian Meals
One Meal Dinner
Traditional Indian Rice Recipes
Pulaos
Indian Party
Lunch Pulao Rice","Preparation Time: 25 mins, Cooking Time: 23 mins, Total Time: 48 mins ,         ",4
https://www.tarladalal.com/recipes-for-veg-recipes-maharashtrian-52?pageindex=3,Sandwich Masala ( Mumbai Roadside Recipes ),https://www.tarladalal.com/sandwich-masala--mumbai-roadside-recipes--33419r,Sandwich Masala ( Mumbai Roadside Recipes ) recipe - How to make Sandwich Masala ( Mumbai Roadside Recipes ),"For Sandwich Masala:
 2 tbsp cumin seeds (jeera)
 2 tsp cloves (laung / lavang)
 2 tsp cinnamon (dalchini)
 1 tbsp black peppercorns (kalimirch)
 4 tsp fennel seeds (saunf)
 1 star anise (chakri phool)
 4 tsp black salt (sanchal)
 2 tsp rock salt (sendha namak)
 4 tsp dried mango powder (amchur)","For sandwich masala
To make 
sandwich masala
, heat a broad non-stick pan, add the cumin seeds, cloves, cinnamon, black peppercorns, fennel seeds and star anaise and dry roast on a slow flame for 2 to 3 minutes. Keep aside to cool.
Once cooled, blend in a mixer to a fine powder.
Transfer the powder into a bowl, add the black salt, rock salt and dried mango powder and blend in a mixer till smooth.
Use the 
 as required.","Tags


Mumbai Street Food
Indian Party
Mixer
Tava","Preparation Time: 5 mins, Cooking Time: 3 mins, Total Time: 8 mins ,         ",Makes 0.5 cup
https://www.tarladalal.com/recipes-for-veg-recipes-maharashtrian-52?pageindex=3,Goda Masala,https://www.tarladalal.com/goda-masala-42727r,Goda Masala recipe - How to make Goda Masala,"For Goda Masala:
 Ingredients For Dry Roasting:
 1 cup coriander (dhania) seeds
 3 tbsp grated dry coconut (kopra)
 2 tbsp poppy seeds (khus-khus)
 1 tbsp sesame seeds (til)
 2 tbsp cumin seeds (jeera)
 1 tbsp caraway seeds (shahjeera)
 7 star anise (chakri phool)
 Ingredients For Roasting In Oil:
 1 tbsp oil
 1 1/2 tsp mustard seeds ( rai / sarson)
 10 curry leaves (kadi patta)
 1/2 tbsp fenugreek (methi) seeds
 1/2 tbsp asafoetida (hing)
 1 tbsp cloves (laung / lavang)
 9 cinnamon (dalchini) sticks , 25 mm. each
 2 piece mace (javantri)
 1 tbsp black peppercorns (kalimirch)
 2 tbsp dagad phool (black stone flower)
 5 whole dry kashmiri red chillies
 3 black cardamom (badi elaichi)
 7 bayleaves (tejpatta)
 3/4 tsp turmeric powder (haldi)
 1 tbsp cardamom (elaichi) powder
 1/2 tbsp nutmeg (jaiphal) powder
 salt to taste","For goda masala
To begin making the 
maharashtrian goda masala recipe
, first place a broad non-stick pan on a slow flame to roast all the ingredients.
When the pan is moderately hot, gently and separately roast the ingredients for dry roasting one by one until they are fragrant and lightly browned. Remove them in a deep bowl and keep aside to cool. Refer big recipe with step by step images for detailed cooking procedure.
In the same pan, heat the oil and add mustard seeds.
When the seeds crackle, add the remaining ingredients mentioned to roast with oil and roast them one after another and sauté on a slow flame until they release aroma.
Switch off the flame and add the turmeric powder and mix well.
Remove them in the same bowl and add the cardamom powder and nutmeg powder and mix well. Keep aside to cool.
Once cooled, blend in a mixer till smooth.
Store the 
goda masala
 in an air-tight container. Use as required.","Tags


Maharashtrian
Mixer
Non-stick Pan","Preparation Time: 15 mins, Cooking Time: 15 mins, Total Time: 30 mins ,         ",2
https://www.tarladalal.com/recipes-for-veg-recipes-maharashtrian-52?pageindex=3,"Farali Misal, Maharashtrian Upvas Snack",https://www.tarladalal.com/farali-misal-maharashtrian-upvas-snack-42091r,"Farali Misal, Maharashtrian Upvas Snack recipe - How to make Farali Misal, Maharashtrian Upvas Snack","For Farali Misal:
 1/4 cup raw peanuts
 1/4 cup grated coconut
 1/4 cup chopped coriander (dhania)
 2 tsp oil
 1 tsp cumin seeds (jeera)
 3/4 cup boiled potato cubes
 3/4 tsp chilli powder
 salt to taste
 4 tbsp readymade faraali chivda for topping
 4 tbsp readymade masala salli for topping","For farali misal
To make 
farali misal
, combine the peanuts, coconut, coriander and approx. 4 tbsp of water in a mixer and blend till smooth. Keep aside.
Heat the oil in a deep non-stick pan and add the cumin seeds and sauté on a medium flame for a few seconds.
Add the potatoes and sauté on a medium flame for 2 to 3 minutes.
Add the prepared peanut-coconut paste, , mix well and cook on a medium flame for 1 minute, while stirring occasionally.
Add the chilli powder, salt and 1½ cups of hot water, mix well and cook on a medium flame for 6 to 8 minutes, while stirring occasionally.
Pour half the portion on a serving bowl.
Top it with 2 tbsp of farali chivda and 2 tbsp of masala salli evenly over it.
Repeat steps 5 and 6 to make 1 more serving.
Serve the 
 immediately.","Tags


Gujarati  Faral, Faraal
Maharashtrian Upvas (Fasting)
Maharashtrian Breakfast
Indian Snacks for Entertaining
Mahashivaratri
Janmashtami
Navratri Vrat","Preparation Time: 10 mins, Cooking Time: 13 mins, Total Time: 23 mins ,         ",2
https://www.tarladalal.com/recipes-for-veg-recipes-maharashtrian-52?pageindex=3,Chawal Bhakri,https://www.tarladalal.com/chawal-bhakri-40160r,Chawal Bhakri recipe - How to make Chawal Bhakri,"For Chawal Bhakri:
 1 cup rice flour (chawal ka atta)
 salt to taste
 rice flour (chawal ka atta) for rolling
 For Serving With Chawal Bhakri:
 red chilli thecha","For chawal bhakri
To make 
chawal bhakri
, heat 1 cup of water and salt in a deep non-stick pan and allow the water to come to a boil.
Once the water boils, add the rice flour and mix very well. Switch off the flame and cover with a lid and keep aside for 15 minutes.
Knead the dough well. Divide the dough into 5 equal portions.
Roll a portion of the dough into a 200 mm. (8”) diameter thin circle using a little rice flour for rolling
Heat a non-stick tava (griddle) and cook the roti on a medium flame till both the sides are cooked.
Repeat steps 4 and 5 to make 4 more bhakris.
Serve the 
 immediately with red chilli thecha.","Tags


Maharashtrian Rotis / Polis
Maharashtrian Breakfast
Dinner Menus
Indian Rotis
Gluten Free Rotis
Indian Travel Food Paratha
Lunch Roti","Preparation Time: 5 mins, Cooking Time: 15 mins, Total Time: 20 mins ,         ",5
https://www.tarladalal.com/recipes-for-veg-recipes-maharashtrian-52?pageindex=3,"Schezuan Chopsuey Dosa, Mumbai Roadside Schezwan Dosa  Recipe",https://www.tarladalal.com/schezuan-chopsuey-dosa-mumbai-roadside-schezwan-dosa--recipe-33393r,"Schezuan Chopsuey Dosa, Mumbai Roadside Schezwan Dosa  Recipe recipe - How to make Schezuan Chopsuey Dosa, Mumbai Roadside Schezwan Dosa  Recipe","For The Schezuan Chopsuey:
 1/4 cup schezwan sauce
 1 cup boiled noodles
 2 tbsp butter
 1 cup chopped onions
 1 cup shredded cabbage
 3/4 cup carrot juliennes
 3/4 cup capsicum juliennes
 2 tbsp tomato ketchup
 1 tbsp red chilli sauce
 salt to taste
 1/4 cup finely chopped spring onion greens
 Other Ingredients For Schezwan Chopsuey Dosa:
 2 cups readymade dosa batter
 melted butter for cooking
 For Serving With Schezwan Chopsuey Dosa:
 coconut chutney
 sambhar","For the schezuan chopsuey
Heat the butter in a broad non-stick pan, add the onions and sauté on a medium flame for 2 minutes.
Add the cabbage, carrot and capsicum and sauté on a medium flame for 2 more minutes.
Add the tomato ketchup, chilli sauce, schezuan sauce and salt, mix well and cook on a medium flame for 1 minute, while stirring occasionally.
Add the noodles and spring onion greens, mix well and cook on a medium flame for 2 minutes, while stirring occasionally.
Divide it into 4 equal portions and keep aside.
How to proceed
Heat a non-stick tava (griddle), sprinkle a little water on it (it should sizzle immediately) and wipe off using a piece of cloth.
Pour a ladleful of the batter on the tava (griddle) and spread in a circular motion to make a 200 mm. (8”) diameter circle.
Spread a little butter over it and cook on a medium flame till it turns slightly crisp and golden brown in colour.
Place one portion of the schezuan chopsuey in a row in the centre and fold it over from both the sides.
Repeat steps 1 to 4 to make 3 more 
schezwan chopsuey dosas
.
Serve the 
schezwan chopsuey dosa
 immediately with coconut chutney and sambhar.","Tags


South Indian
Different Types of Dosa
South Indian Breakfast
Mumbai Street Food
Evening Tea Snacks
One Dish Vegetarian Meals
One Meal Dinner","Preparation Time: 15 mins, Cooking Time: 20 mins, Total Time: 35 mins ,         ",4
https://www.tarladalal.com/recipes-for-veg-recipes-maharashtrian-52?pageindex=3,Sabudana Khichdi,https://www.tarladalal.com/sabudana-khichdi-39657r,Sabudana Khichdi recipe - How to make Sabudana Khichdi,"For The Sabudana Khichdi:
 1 cup sago (sabudana) , washed and drained
 2 tbsp oil
 1 tsp cumin seeds (jeera)
 3/4 cup boiled and peeled potato cubes
 salt or to taste
 1/2 cup roasted coarsely powdered peanuts
 2 tbsp finely chopped coriander (dhania)
 2 tsp finely chopped green chillies
 5 to 6 curry leaves (kadi patta)
 2 tsp lemon juice
 2 tsp sugar","Method to make sabudana khichdi
To make the 
sabudana khichdi
, combine the sago and ¾ cup of water in a deep bowl, mix well and keep aside to soak for 2 hours. Keep aside.
Heat the oil in a deep non-stick pan and add the cumin seeds.
When the seeds crackle, add the potatoes, sago, salt, peanuts, coriander, green chillies, curry leaves, lemon juice and sugar, mix well and cook on a medium flame for 2 minutes.
Serve the 
 hot.","Tags


Gujarati  Faral, Faraal
Maharashtrian Breakfast
Quick breakfast
Janmashtami
Navratri Vrat 
Ekadashi Recipes, Ekadasi","Preparation Time: 15 mins, Cooking Time: 3 mins, Total Time: 2 hours 18 minutes, Soaking Time:   2 hours           ",2
