recipe_list_url,recipe_name,recipe_url,recipe_long_name,ingredients,recipe,tags,times,servings
https://www.tarladalal.com/recipes-for-veg-recipes-gujarati-24?pageindex=16,"Phoolwadi Recipe, Fulwadi Gujarati Jar Snack",https://www.tarladalal.com/phoolwadi-recipe-fulwadi-gujarati-jar-snack-42213r,"Phoolwadi Recipe, Fulwadi Gujarati Jar Snack recipe - How to make Phoolwadi Recipe, Fulwadi Gujarati Jar Snack","3/4 cup coarse besan (bengal gram flour)
 1/2 tsp coarsely crushed coriander (dhania) seeds
 1/2 tsp coarsely crushed fennel seeds (saunf)
 1/2 tsp sesame seeds (til)
 1/2 tsp carom seeds (ajwain)
 1 1/2 tsp sugar
 2 tsp curd (dahi)
 1/4 tsp turmeric powder (haldi)
 1/2 tsp chilli powder
 salt and to taste
 oil for deep-frying","Method
Combine all the ingredients in a deep bowl and mix well.
Add enough water and knead into a semi-stiff dough.
Divide the dough into 26 portions and shape each portion into 25 mm. (1”) cylindrical long roll.
Heat the oil in a deep non-stick pan and deep-fry a few phoolwadis at a time on a medium slow flame till they turn golden brown in colour from both the sides. Drain.
Cool completely and store in an air-tight container and use as required.","Gujarati  Dry Snacks
Indian Jar Snacks
Diwali Snacks
Picnic Dry Snacks
Indian Travel Food Dry Snacks","Preparation Time: 5 mins, Cooking Time: 20 mins, Total Time: 25 mins ,         ",26
https://www.tarladalal.com/recipes-for-veg-recipes-gujarati-24?pageindex=16,"Sweet Mathri, Sweet Jar Snack",https://www.tarladalal.com/sweet-mathri-sweet-jar-snack-42097r,"Sweet Mathri, Sweet Jar Snack recipe - How to make Sweet Mathri, Sweet Jar Snack","For Sweet Mathri:
 1 1/4 cups plain flour (maida)
 2 1/2 tbsp powdered sugar
 1 tbsp ghee
 2 1/2 tbsp milk
 a pinch of nutmeg (jaiphal) powder
 a pinch of salt
 ghee for deep-frying","For sweet mathri
To make 
sweet mathri
, combine the all the ingredients in a deep bowl and knead into a stiff dough without using any water.
Cover with a lid and keep aside for 15 minutes.
Divide the dough into 30 equal portions.
Take a portion of the dough and knead it between your palms and flatten it lightly.
With help of your thumb press it in the centre to make a deep depression.
Heat the ghee in a deep non-stick pan, deep-fry a few mathris on a slow flame till they turn golden brown in colour from both the sides. Drain on an absorbent paper.
Cool the sweet mathri completely and store in an air-tight container. Use as required.","Gujarati  Dry Snacks
School Time Snacks
Evening Tea Snacks
Diwali
Diwali Snacks
Indian Party
Kids Tiffin Box","Preparation Time: 5 mins, Cooking Time: 30 mins, Total Time: 35 mins ,         ",6
https://www.tarladalal.com/recipes-for-veg-recipes-gujarati-24?pageindex=16,"Sanwa Dosa, Varai Dosa for Vrat Upvas",https://www.tarladalal.com/sanwa-dosa-varai-dosa-for-vrat-upvas-42138r,"Sanwa Dosa, Varai Dosa for Vrat Upvas recipe - How to make Sanwa Dosa, Varai Dosa for Vrat Upvas","For Sanwa Dosa:
 1 cup sanwa millet (sama)
 1/2 cup roughly chopped boiled potatoes
 1 tsp cumin seeds (jeera)
 2 tbsp finely chopped coriander (dhania)
 1 tsp finely chopped green chillies
 rock salt (sendha namak) to taste
 12 tsp oil for cooking
 For Serving With Sanwa Dosa:
 peanut curd chutney","For sanwa dosa
To make 
sanwa dosa
, clean, wash and soak the samwa millet for 6 hours or overnight in enough water and drain well.
Combine the soaked sanwa, potatoes and ¾ cup of water in a mixer and blend it till smooth.
Transfer the mixture into a deep bowl, add 1¾ cups of water, cumin seeds, coriander, green chillies and rock salt and mix well.
Heat a non-stick tava (griddle) till red hot, sprinkle a little water on the tava (griddle) and wipe it off gently using a muslin cloth.
Grease the tava (griddle), with a little oil and pour 1/3 cup (approx. 5 tbsp) of the batter on it and tilt the tava (griddle), in a circular motion to make a round dosa.
Cover with a lid and cook on a medium flame for 1 minute.
Remove the lid add 1 tsp of oil over it and on the sides and cook on a medium flame for 2 to 3 minutes, or till it is crisp from all the sides.
Fold the dosa into a semi-circle.
Repeat with the remaining batter to make 11 more dosas.
Serve the sanwa dosa immediately with peanut curd chutney.","Gujarati  Faral, Faraal
Maharashtrian Upvas (Fasting)
Maharashtrian Breakfast
Breakfast Idlis / Dosas / Uttapam
Evening Tea Snacks
Janmashtami
Ekadashi Recipes, Ekadasi","Preparation Time: 20 mins, Cooking Time: 45 mins, Total Time: 1 hours 5 minutes,         ",12
https://www.tarladalal.com/recipes-for-veg-recipes-gujarati-24?pageindex=16,"Ringna Batata ni Kachri, Ringna Batata Nu Shaak",https://www.tarladalal.com/ringna-batata-ni-kachri-ringna-batata-nu-shaak-606r,"Ringna Batata ni Kachri, Ringna Batata Nu Shaak recipe - How to make Ringna Batata ni Kachri, Ringna Batata Nu Shaak","For Ringna Batata ni Kachri:
 1 cup thickly sliced brinjals (baingan / eggplant)
 1 1/2 cups peeled and thickly sliced potatoes
 2 tbsp oil
 1/2 tsp mustard seeds ( rai / sarson)
 1/4 tsp asafoetida (hing)
 1/4 tsp turmeric powder (haldi)
 1 1/2 tsp coriander-cumin seeds (dhania-jeera) powder
 1 tsp chilli powder
 1 1/2 tsp besan (bengal gram flour)
 1/2 tsp plain flour (maida)
 salt to taste","For ringna batata ni kachri
To make 
ringna batata ni kachri
, heat the oil in a non-stick kadhai, add the mustard seeds, asafoetida, turmeric powder, coriander-cumin seeds powder and chilli powder and sauté on a medium flame for a few seconds.
Add the brinjal and potatoes, mix well and cook on a slow flame for 10 to 12 minutes or till the vegetables are half-cooked, while stirring occasionally.
Add the besan, plain flour and salt, mix well and cook on a medium flame for 10 to 12 minutes or till the potatoes are cooked.
Serve the ringna batata ni kachri hot.","Gujarati Shaak Sabzi
Indian Tiffin Box, Lunch box, Dabba
Sukhi Sabzis
Traditional Indian Sabzis
Indian Party
Non Stick Kadai Veg
Quick Sabzis","Preparation Time: 5 mins, Cooking Time: 20 mins, Total Time: 25 mins ,         ",4
https://www.tarladalal.com/recipes-for-veg-recipes-gujarati-24?pageindex=16,"Sabudana Thalipeeth, Upvas Vrat Recipe",https://www.tarladalal.com/sabudana-thalipeeth-upvas-vrat-recipe-42112r,"Sabudana Thalipeeth, Upvas Vrat Recipe recipe - How to make Sabudana Thalipeeth, Upvas Vrat Recipe","For Sabudana Thalipeeth:
 1 cup sago (sabudana)
 1 cup boiled and mashed potatoes
 1/4 cup roasted and coarsely crushed peanuts
 1 tbsp sugar
 1 tbsp finely chopped green chillies
 1/2 tbsp cumin seeds (jeera)
 2 tbsp finely chopped coriander (dhania)
 rock salt (sendha namak) to taste
 2 1/2 tsp oil
 5 tsp oil for cooking
 For Serving With Sabudana Thalipeeth:
 sweet curds (dahi)","For sabudana thalipeeth
To make 
sabudana thalipeeth
, soak the sabudana in enough water in a deep bowl overnight and drain well.
Transfer the soaked sabudana and all the ingredients in a deep bowl and mix very well.
Divide the mixture into 10 equal portions.
Grease a plastic sheet with ¼ tsp of oil, place it on a clean, dry surface, put a portion of the dough on it and flatten it. Pat it with your fingers to form a 125 mm. (5”) diameter circle.
Make a hole in the centre using your index finger.
Remove the plastic sheet and place the circle on a hot greased non-stick tava (griddle) and cook using ½ tsp of oil till it turns golden brown in colour from both the sides.
Repeat steps 4 to 6 to make 9 more thalipeeths.
Serve the sabudana thalipeeth immediately with sweet curds.","Gujarati  Faral, Faraal
Maharashtrian Upvas (Fasting)
Maharashtrian Snacks Nashta
Maharashtrian Breakfast
Indian Snacks for Entertaining
Evening Tea Snacks
Sankashti Chaturthi Recipes","Preparation Time: 15 mins, Cooking Time: 20 mins, Total Time: 8 hours 35 minutes, Soaking time:  Overnight           ",10
https://www.tarladalal.com/recipes-for-veg-recipes-gujarati-24?pageindex=16,"Bread Dhokla, Instant Bread Dhokla",https://www.tarladalal.com/bread-dhokla-instant-bread-dhokla-42076r,"Bread Dhokla, Instant Bread Dhokla recipe - How to make Bread Dhokla, Instant Bread Dhokla","For  Bread Dhokla:
 3/4 cup fresh bread crumbs
 1/2 cup semolina (rava / sooji)
 1/2 cup curd (dahi)
 1 tsp ginger-green chilli paste
 1/2 tsp chilli powder
 1 1/2 tbsp oil
 salt to taste
 1 tsp fruit salt
 1 tsp mustard seeds ( rai / sarson)
 1 tsp sesame seeds (til)
 1/4 tsp asafoetida (hing)
 For Serving With Bread Dhokla:
 green chutney","For bread dhokla
Combine bread crumbs, semolina, curds, ginger-green chilli paste, chilli powder, ½ tbsp oil, salt and ½ cup of water in a deep bowl and mix well.
Cover it with a lid and keep aside for 15 minutes.
Just before steaming, add the fruit salt and add 2 tsp of water over it and mix gently.
Pour batter in a greased 175 mm. (7"") diameter thali and spread it to make an even layer.
Steam the dhoklas for 12 minutes or till the dhoklas are cooked. Cool slightly.
Heat the remaining 1 tbsp of oil in a small non-stick pan, add the mustard seeds, sesame seeds and asafoetida and sauté on a medium flame for 30 seconds.
Pour this tempering over the prepared dhokla and cut into square pieces.
Serve the bread dhokla bread dhokla
 immediately with green chutney.","Gujarati Farsans
Gujarati Breakfast
Breakfast Dhokla
Quick Evening Snacks
Indian Steamed Snacks
Evening Tea Snacks
Indian Party","Preparation Time: 10 mins, Cooking Time: 15 mins, Total Time: 25 mins ,         ",3
https://www.tarladalal.com/recipes-for-veg-recipes-gujarati-24?pageindex=16,Sabudana Vada,https://www.tarladalal.com/sabudana-vada-4955r,Sabudana Vada recipe - How to make Sabudana Vada,"For Sabudana Vada:
 1 1/2 cups soaked sago (sabudana) , refer handy tip
 1 1/4 cups boiled , peeled and mashed potatoes
 1/2 cup roasted and coarsely crushed peanuts
 2 tsp green chilli paste
 1 tsp lemon juice
 2 tsp sugar
 1/4 cup finely chopped coriander (dhania)
 1 tsp grated ginger (adrak)
 salt to taste
 oil for deep-frying
 For Serving With Sabudana Vada:
 fresh curd (dahi)
 green chutney","For sabudana vada
Combine all the remaining ingredients in a bowl and mix well.
Divide the mixture into 12 equal portions and shape each portion into a 50 mm. (2”) diameter flat round. Keep aside.
Heat the oil in a kadhai and deep-fry the wadas on a medium flame till they turn brown in colour from both the sides. Drain on absorbent paper.
Serve hot with fresh curds and green chutney
Handy tip:
For 1 ½ cups of soaked sago, wash ½ cup of raw sago, drain and then soak them in ¾ cup of water for 4 to 5 hours, or till they swell and turn soft.","Gujarati  Faral, Faraal
Maharashtrian Breakfast
Indian snacks with little planning
Indian Snacks for Entertaining
Deep-fried Indian Starters
Evening Tea Snacks
Mahashivaratri","Preparation Time: 10 mins, Cooking Time: 20 mins, Total Time: 5 hours 30 minutes, Soaking time:  4 to 5 hours           ",12
https://www.tarladalal.com/recipes-for-veg-recipes-gujarati-24?pageindex=16,"Gathiya Subzi, Ganthiya Subzi",https://www.tarladalal.com/gathiya-subzi-ganthiya-subzi-266r,"Gathiya Subzi, Ganthiya Subzi recipe - How to make Gathiya Subzi, Ganthiya Subzi","1 1/2 cups readymade ganthia
 2 tbsp oil
 1/2 tsp mustard seeds ( rai / sarson)
 3/4 cup fresh curds (dahi)
 a pinch of asafoetida (hing)
 1/4 tsp turmeric powder (haldi)
 1 tsp chilli powder
 salt to taste
 For The Garnish:
 2 tbsp finely chopped coriander (dhania)","Method
Heat the oil in a kadhai and add the mustard seeds.
When the seeds crackle, add the curds, asafoetida, turmeric powder, chilli powder, salt and ½ cup of water, mix well and cook on a slow flame for 2 to 3 minutes, while stirring continuously.
Just before serving, add the ganthia, mix gently and cook on a slow flame for 1 to 2 minutes, while stirring occasionally
Serve immediately garnished with coriander.","Gujarati Shaak Sabzi
Quick Sabzis
Traditional Indian Sabzis
Deep Fry
Kadai Veg
Quick Sabzis","Preparation Time: 10 mins, Cooking Time: 5 mins, Total Time: 15 mins ,         ",4
https://www.tarladalal.com/recipes-for-veg-recipes-gujarati-24?pageindex=16,"Crsipy Potato Topped with Peanut Curd Chutney, Vrat, Upvas",https://www.tarladalal.com/crsipy-potato-topped-with-peanut-curd-chutney-vrat-upvas-41173r,"Crsipy Potato Topped with Peanut Curd Chutney, Vrat, Upvas recipe - How to make Crsipy Potato Topped with Peanut Curd Chutney, Vrat, Upvas","15 boiled thick potato slices
 oil for deep-frying
 cumin seeds (jeera) powder for sprinkling
 For The Peanut Curd Chutney:
 1/4 cup raw peanuts
 1/4 tsp roughly chopped ginger (adrak)
 1 1/2 tsp roughly chopped green chillies
 a pinch of sugar
 rock salt (sendha namak) to taste
 3 tbsp curds (dahi)","For the peanut curd chutney
Combine the peanuts, ginger, green chillies, sugar and rock salt in a mixer and blend till corse.
Trasnfer the mixture into a deep bowl add the curds and mix well. Keep aside.
How to proceed
Heat the oil in a deep non-stick pan and deep-fry a few potato slices, at a time till they turn golden brown in colour from al lthe sides. Drain on an absorbent paper.
Top each deep-fried potato slice with little of the prepared peanut curd chutney. Sprinkle a little cumin seeds powder evenly over it.
Serve immeidately.","Gujarati  Faral, Faraal
Maharashtrian Upvas (Fasting)
Indian Snacks for Entertaining
Deep-fried Indian Starters
Evening Tea Snacks
Deep Fry
Indian Party","Preparation Time: 15 mins, Cooking Time: 15 mins, Total Time: 30 mins ,         ",3
https://www.tarladalal.com/recipes-for-veg-recipes-gujarati-24?pageindex=16,"Malai Peda, Diabetic Friendly",https://www.tarladalal.com/malai-peda-diabetic-friendly-3475r,"Malai Peda, Diabetic Friendly recipe - How to make Malai Peda, Diabetic Friendly","2 cups full-fat milk
 2 1/2 cups low-fat milk  ,  99.7% fat free
 2 tsp cornflour
 1 tbsp low-fat milk  ,  99.7% fat free
 1/4 tsp saffron (kesar) strands
 2 tsp warm milk
 1/4 tsp citric acid (nimbu ka phool)
 1/4 tsp cardamom (elaichi) powder
 1 1/4 tsp sugar substitute","Method
Combine the cornflour and 1 tbsp low- milk in a bowl, mix well and keep aside.
Combine the saffron and 2 tsp of warm milk in a bowl, mix well and keep aside.
Combine the citric acid and 1 tbsp of water in a bowl, mix well and keep aside.
Combine the full-fat milk and low-fat milk in a deep pan and boil on a high flame for 6 to 8 minutes, while stirring occasionally.
Reduce the flame to medium and cook for 25 to 30 minutes or till the milk reduces to half its quantity, while stirring occasionally and scrapping he sides of the pan.
Add the saffron-milk mixture, mix well and cook on a medium flame for 4 to 5 minutes, while stirring occasionally.
Add the cornflour-milk mixture and citric-water mixture, mix well and cook on a medium flame for 12 minutes, or till the mixture  leaves the sides of the pan, while stirring continuously.
Transfer it to a plate, spread with the help of a flat spatula and keep aside to cool for 30 minutes.
Add the cardamom powder and sugar substitute and mix very well using your fingers.
Divide the mixture into 20 equal portions and shape each portion in between your palms into a flat round.
Serve or store refrigerated in an air-tight container till use.
Disclaimer:
It is highly recommended that this recipe be relished by diabetics only occasionally and in small quantities. This is just a mere ‘treat’ and does not qualify for a regular diabetic menu.","Gujarati Sweet Mithai
Peda, Ladoo collection 
Traditional Indian Mithai
Low Cal Sweets / Desserts
Non-stick Pan
Lunch Mithai, Indian sweets for lunch","Preparation Time: 5 mins, Cooking Time: 55 mins, Total Time: 1 hours,         ",20
