recipe_list_url,recipe_name,recipe_url,recipe_long_name,recipe_ing,recipe,tags,times,servings
https://www.tarladalal.com/recipes-for-veg-recipes-gujarati-24?pageindex=28,Sev Tameta Nu Shaak (green Tomatoes),https://www.tarladalal.com/sev-tameta-nu-shaak-green-tomatoes-16023r,Sev Tameta Nu Shaak (green Tomatoes) recipe - How to make Sev Tameta Nu Shaak (green Tomatoes),"250 gms green tomatoes
 100 gms nylon sev
 2 to 4 cloves of garlic (lehsun) (optional)
 2 cups  water
 2 tsp oil
 1 tsp cumin seeds (jeera)
 1/4 tsp turmeric powder (haldi)
 1 tsp chilli powder
 2 tsp coriander (dhania) powder
 a pinch of asafoetida (hing)
 1 to 2 tbsp jaggery (gur)
 salt to taste
 few springs of coriander (dhania) leaves for garnishing","Chop the tomatoes into small cubes. chop the garlic very finely.
Heat the oil in a frying pan. add the cumin seeds and aloow them to splutter. add the asafoetida and the chilli powder and immediately add the chopped tomatoes, garlic and water.
Cook on a medium flame till the tomatoes are done. add a little more water if required.
Add the jaggery, salt and dhania powder. cover and cook till the jaggery melts completely.
Do not let all the water to evaporate. maintain a watery gravy to soften the sev.
At the time of serving, fill half of the serving bowl with the vegetable and top it with the nylon sev. garnish with chopped coriander leaves.
Serve hot with rotis, parathas, steamed rice or khichdi.","Gujarati Shaak Sabzi
Jain Subzi / Gravies","Preparation Time: 5 mins, Cooking Time: 15 mins., Total Time: 20 mins ,         ",4
https://www.tarladalal.com/recipes-for-veg-recipes-gujarati-24?pageindex=28,Bajari Khichhu,https://www.tarladalal.com/bajari-khichhu-16353r,Bajari Khichhu recipe - How to make Bajari Khichhu,"3/4 cup rice flour (chawal ka atta)
 1/4 cup bajra (black millet) flour
 1 tsp green chilli paste
 1 tsp papad khar
 4 tsp oil
 salt to taste
 1/2 tsp cumin seeds (jeera) powder","Method
Combine 2 cups of water, oil, salt, chilli paste and papadkhar in a non-stick pan and cook till the mixture comes to boil.
Add the flours and cumin seeds and mix well, while stirring continuously, making sure that no lumps are formed.
Remove from the flame and cover for 2 minutes.
Serve hot garnished with a few coriander leaves and chilly oil.",Gujarati Farsans,"Preparation Time: 15 mins, Cooking Time: 15 mins, Total Time: 30 mins ,         ",4
https://www.tarladalal.com/recipes-for-veg-recipes-gujarati-24?pageindex=28,Karele ki Karari Kachri,https://www.tarladalal.com/karele-ki-karari-kachri-16415r,Karele ki Karari Kachri recipe - How to make Karele ki Karari Kachri,"3 medium bitter gourd (karela)
 1 tsp cornflour
 1 tsp coriander (dhania) powder
 1 tsp chilli powder
 1/2 tsp dried mango powder (amchur)
 salt to taste
 1/2 tsp chaat masala
 oil for deep-frying","Method
Wash and cut the karela into thin rounds.
Add little salt, mix well and keep aside for 30 minutes.
Squeeze out all water from the karela and add the cornflour, coriander powder, chilli powder, amchoor powder and little salt, toss well and keep aside to marinate for at least one hour.
Heat the oil in a kadhai and deep fry the kachris till they turn golden brown and crisp from all the sides.
Drain on an absorbent paper.
Serve hot.","Gujarati Shaak Sabzi
Sukhi Sabzis","Preparation Time: 10 mins, Cooking Time: 10  mins, Total Time: 20 mins ,         ",4
https://www.tarladalal.com/recipes-for-veg-recipes-gujarati-24?pageindex=28,Theplaas,https://www.tarladalal.com/theplaas-16467r,Theplaas recipe - How to make Theplaas,"1 cup  leftover chilka moong dal khichdi
 1 cup whole wheat flour (gehun ka atta)
 salt to taste
 2 tsp chilli powder
 2 tsp coriander (dhania) powder
 1/4 tsp turmeric powder (haldi)
 2 tsp curds (dahi) (optional)","Prepare a soft dough using all the ingredients.
Divide into 8 rolls.
With a soft hand roll out the theplas one by one.
Fry theplas with a little oil on medium flame.","Gujarati Roti, Thepla recipe collection
Breakfast using Leftovers
Breakfast Theplas, Parathas
Indian Tawa
Tava
Quick Rotis / Parathas","Preparation Time: 10 mins, Cooking Time: 15mins, Total Time: 25 mins ,         ",8
https://www.tarladalal.com/recipes-for-veg-recipes-gujarati-24?pageindex=28,Baingan Bhaat,https://www.tarladalal.com/baingan-bhaat-16577r,Baingan Bhaat recipe - How to make Baingan Bhaat,"1 1/2 cups horizontally sliced brinjals (baingan / eggplant)
 1 cup long grained rice (basmati)
 1/2 tsp mustard seeds ( rai / sarson)
 1/2 tsp cumin seeds (jeera)
 3 cardamoms (elaichi)
 1/2  "" piece of cinnamon (dalchini)
 5 cloves (laung / lavang)
 1/2 tsp fenugreek (methi) seeds
 2 green chillies, slit
 5 curry leaves (kadi patta)
 1/4 tsp asafoetida (hing)
 1/2 tsp turmeric powder (haldi)
 1/2 tsp chilli powder
 salt to taste
 To be ground into a spice powder:
 2 cloves (laung / lavang), roasted
 1/2  "" piece of cinnamon (dalchini)
 1 tsp coriander (dhania) seeds, roasted
 1 tsp cumin seeds (jeera), roasted
 1 tsp caraway seeds (shahjeera)
 2 tbsp sesame seeds (til)
 2 tbsp chopped coriander (dhania)","Wash and soak the rice for about 10 minutes. drain and keep aside.
Combine all the ingredients including the spice powder in a pressure cooker.
Add 2½ cups of warm water and pressure cook for 2 whistles.
Allow the steam to escape before opening. separate each grain of rice lightly with fork.
Serve hot garnished with coriander.","Gujarati Khichdi 
Maharashtrian Bhaat (Rice)
Traditional Indian Rice Recipes","Preparation Time: 15, Cooking Time: 15, Total Time: 30 mins ,         ",4
https://www.tarladalal.com/recipes-for-veg-recipes-gujarati-24?pageindex=28,Toothpick Khandvi,https://www.tarladalal.com/toothpick-khandvi-16595r,Toothpick Khandvi recipe - How to make Toothpick Khandvi,"1 cup besan (Bengal gram flour)
 1 cup  thick curds (dahi)
 1 1/2 cups water
 1/2 tsp ginger-green chilli paste
 1/4 tsp asafoetida (hing)
 1/4 tsp turmeric powder (haldi)
 salt to taste
 For vaghar:
 3 tsp oil
 1/4 tsp mustard seeds ( rai / sarson)
 1/4 tsp sesame seeds (til)
 1 tsp curry leaves (kadi patta)
 To garnish:
 2 tsp grated coconut
 2 tsp chopped coriander (dhania)
 2  pinches chilli powder
 To serve:
 40  toothpicks","Mix all ingredients of the khandvi and strain into a non-stick kadhai only.
Put on high flame and cook for five mins.
Make sure there are no lumps formed.
When done spread the mixture on a dry granite kitchen platform or the backside of a steel thali that is greased.
Spread the mixture thinly n let dry for 30 seconds.
Roll out and cut into 2 inches pieces.
Pass each peice thru a toothpick.
Decorate on the serving dish, sprinkle chilli powder, corriander leaves, coconut.
For vaghaar
Heat oil, add mustard seeds, safed till and curry patta, when done spead over the khandvis.
Serve with green chutney.","Gujarati Farsans
Indian Snacks for Entertaining
Indian Steamed Snacks","Preparation Time: 2min, Cooking Time: 5min, Total Time: 7 mins ,         ",10
https://www.tarladalal.com/recipes-for-veg-recipes-gujarati-24?pageindex=28,Suran and Raw Kela Subzi,https://www.tarladalal.com/suran-and-raw-kela-subzi-14336r,Suran and Raw Kela Subzi recipe - How to make Suran and Raw Kela Subzi,"1/4 kg yam (suran)
 2 raw bananas
 1/4 tsp turmeric powder (haldi)
 1/2 tsp black pepper (kalimirch) powder
 1/4 tsp asafoetida (hing)
 1/2 cup grated coconut
 few curry leaves (kadi patta)
 1/4 tsp mustard seeds ( rai / sarson)
 1/2 tbsp coconut oil
 1/2 tsp soaked rice (chawal) (for   thickness)","Cut the kela and suran into cubes and boil in water along with turmeric and salt.
Now grind the coconut,soaked rice and black pepper into paste.
Addd the above paste to the boiled vegetables and let it boil for a few minutes.
Now take a pan and pour the oil and season it with rai hing and curry leaves and
Pour over the vegetables and serve with rice.
For variation you can also boil the vegetables in a little tamarind water.","Gujarati  Faral, Faraal","Total Time: 0 mins , Preparation Time: 15 MINUTES   Cooking Time: 25 MINUTES   ",3
https://www.tarladalal.com/recipes-for-veg-recipes-gujarati-24?pageindex=28,Oondhiya  By Bhaviniparekh2001,https://www.tarladalal.com/oondhiya--by-bhaviniparekh2001-14341r,Oondhiya  By Bhaviniparekh2001 recipe - How to make Oondhiya  By Bhaviniparekh2001,"100 gms surti papdi (fresh vaal) , stringed
 100 gms chopped raw bananas , unpeeled
 100 gms yam (suran) cubes , peeled
 100 gms small brinjal (baingan / eggplant) , cut lengthwise
 4 to 5 green chillies , crushed
 1 tsp grated ginger (adrak)
 1/2 tsp crushed garlic (lehsun)
 1 tbsp finely chopped coriander (dhania)
 1 tbsp whole wheat flour (gehun ka atta)
 4 tbsp oil
 1/4 tsp asafoetida (hing)
 1/2 tsp turmeric powder (haldi)
 1 tsp carom seeds (ajwain)
 salt to taste
 1/2 tbsp sugar
 lemon juice to taste
 For Methi Ghatta:
 100 gms finely chopped fenugreek (methi) leaves
 1/2 cup besan (bengal gram flour)
 1 tsp chilli powder
 1 tbsp grated coconut
 salt to taste
 1 tbsp oil","For ghatta:
Combine all the ingredients in bowl, mix well and knead into a stiff dough.
Divide the dough into small equal portions and shape them into small round cylindrical rolls.
Heat the 4 tbsp oil in a pan, add the ghattas and saute for 2 minutes.
Remove and keep aside.
How to proceed
Combine the chilli, ginger, garlic, coriander and blend in a mixer till smooth.
Transfer this paste in a bowl, add the vegetables with oil and mix well and keep aside to marinate for 30 minutes.
Heat the oil in the pan, add the vegetables, mix well and cover and cook for 4-5 minutes.
Add the papdi, turmeric, flour, ajwain and salt, mix well and cover and cook on  a slow flame till the yam is cooked.
Add the coriander, lemon, and sprinkle some water if required and add the sugar and mix well.
Serve hot with parathas.","Gujarati Shaak Sabzi
Traditional Indian Sabzis","Preparation Time: 30 mins, Cooking Time: 30 mins, Total Time: 1 hours,         ",5
https://www.tarladalal.com/recipes-for-veg-recipes-gujarati-24?pageindex=28,Zatpat Papad Nu Shak,https://www.tarladalal.com/zatpat-papad-nu-shak-14377r,Zatpat Papad Nu Shak recipe - How to make Zatpat Papad Nu Shak,"10 papads
 3 onions
 1/2 tsp chilli powder
 1/2 tsp turmeric powder (haldi)
 1 tsp coriander (dhania) powder
 salt to taste
 oil
 cumin seeds (jeera) for tempering","Make papad in midium pieces,and chopped onian,take kadai .
Vaghar onian with oil and jeera,fried it 2to3 minute
Add papad and saute it 2,3 minute then add  1 small glass of water and add all masala and  cooked it for 5 minute and serve it hot.
Your papad nu shak is ready to eat and quick.",Gujarati Shaak Sabzi,"Preparation Time: 5minutes, Cooking Time: 5minutes, Total Time: 10 mins ,         ",3
https://www.tarladalal.com/recipes-for-veg-recipes-gujarati-24?pageindex=28,Oondhiu,https://www.tarladalal.com/oondhiu-14383r,Oondhiu recipe - How to make Oondhiu,"For The Oondhiyu:
 100 gms potatoes
 100 gms surti papdi (fresh vaal)
 100 gms green peas
 100 gms brinjal (baingan / eggplant)
 2 raw bananas , chopped
 2 sweet potatoes , peeled and chopped
 1/2 coconut , grated
 1 small purple yam (kand) , chopped
 1 tsp ginger (adrak) paste
 1 tsp green chilli paste
 1/2 tsp chilli powder
 3 tsp coriander (dhania) powder
 1/2 tsp turmeric powder (haldi)
 1/2 tsp sugar
 6 tsp oil
 1 pinch of asafoetida (hing)
 1 tsp carom seeds (ajwain) or
 1/2 tsp baking soda
 salt to taste
 For The Muthias:
 1 cup besan (bengal gram flour)
 2 cups fenugreek (methi) leaves
 1/2 tsp ginger (adrak) paste
 1/2 tsp green chilli paste
 1/4 tsp chilli powder
 1/2 tsp coriander (dhania) powder
 1/4 tsp turmeric powder (haldi)
 1 tbsp curds (dahi)
 1/2 tsp sugar
 1 tbsp oil","For the muthias
Combine the besan along with methi leaves and masalas and curd and oil and mix well and knead into a stiff dough.
Divide the dough into small equal portions and shape them into small cylindrical rolls.
Heat the oil in a kadhai and deep fry till they turn golden brown and crisp.
Keep aside.
For the oondhiya
Heat the oil in a kadhai and add the carom seeds and asafoetida and soda bi-carbonate.
Add all the vegetables and saute for 3 minutes.
Add the masalas to the grated coconut and mix well.
Add this mixture to the vegetables, salt and prepared muthias and mix well and cook for 10 minutes.
Add some lemon juice and mix well.
Serve hot garnished with coriander.","Gujarati Shaak Sabzi
Lunch Sabzi","Preparation Time: 15 mins, Cooking Time: 15 mins, Total Time: 30 mins ,         ",2
