,recipe_list_url,recipe_name,recipe_url,recipe_long_name,recipe_ing,recipe,tags,times,servings
0,https://www.tarladalal.com/recipes-for-veg-recipes-gujarati-24?pageindex=7,"Lapsi Methi Muthia, Dalia Bajra Methi Muthia",https://www.tarladalal.com/lapsi-methi-muthia-dalia-bajra-methi-muthia-33318r,"Lapsi Methi Muthia, Dalia Bajra Methi Muthia recipe - How to make Lapsi Methi Muthia, Dalia Bajra Methi Muthia","For Lapsi Methi Muthia:
 1 cup cooked broken wheat (dalia)
 1/2 cup finely chopped fenugreek (methi) leaves
 1/2 cup bajra (black millet) flour
 2 tsp grated garlic (lehsun)
 2 tsp ginger-green chilli paste
 2 tsp sugar
 a pinch of baking soda
 1/4 tsp turmeric powder (haldi)
 2 tbsp fresh curd (dahi)
 salt to taste
 1/4 tsp oil for greasing
 2 tsp oil for tempering
 1/2 tsp mustard seeds ( rai / sarson)
 1 tsp sesame seeds (til)
 1/4 tsp asafoetida (hing)","For lapsi methi muthia
To make 
lapsi methi muthias
, combine the broken wheat, fenugreek leaves, bajra flour, garlic, ginger-green chilli paste, sugar, baking soda , turmeric powder, curds and salt in a bowl, mix well and knead into a soft dough adding water if required.
Apply a little oil on your hands and divide the mixture into 2 equal portions.
Shape each portion into an 125 mm. (5”) diameter oblong roll.
Arrange them on a greased sieve and steam in a steamer for 25 to 30 minutes. Remove and keep aside.
Cool slightly and cut into 12 mm. (½”) slices and keep aside.
Heat the oil in a non-stick kadhai or pan and add the mustard seeds.
When the seeds crackle, add the sesame seeds and asafoetida and sauté on a medium flame for a few seconds, while stirring continuously.
Add the 
lapsi methi muthia
 pieces and sauté on a medium flame for 2 to 3 minutes or till they turn light brown in colour and crisp. Serve the 
 immediately garnished with coriander.","Gujarati Farsans
Indian Snacks for Entertaining
School Time Snacks
Evening Tea Snacks
Steam
Indian Party
Steamer","Preparation Time: 10 mins, Cooking Time: 35 mins, Total Time: 45 mins ,         ",3
1,https://www.tarladalal.com/recipes-for-veg-recipes-gujarati-24?pageindex=7,Nachni Methi Muthias ( Microwave Recipe ),https://www.tarladalal.com/nachni-methi-muthias--microwave-recipe--33853r,Nachni Methi Muthias ( Microwave Recipe ) recipe - How to make Nachni Methi Muthias ( Microwave Recipe ),"3/4 cup red millet (ragi /nachni) flour
 3/4 cup whole wheat flour (gehun ka atta)
 3/4 cup finely chopped spinach (palak)
 3 tsp oil for greasing and tempering
 1 1/2 tbsp besan (bengal gram flour)
 3/4 cup finely chopped fenugreek (methi) leaves
 3 tsp garlic (lehsun) paste
 3 tsp ginger-green chilli paste
 3 tsp sugar
 1/4 tsp turmeric powder (haldi)
 3 tbsp fresh curds (dahi)
 salt to taste
 a pinch of baking soda
 1/2 tsp mustard seeds (rai / sarson)
 1/2 tbsp sesame seeds (til)
 a pinch of asafoetida (hing)
 For The Garnish:
 1 tbsp finely chopped coriander (dhania)","Method
Combine the flours, ½ cup of fenugreek leaves, spinach, garlic paste, ginger-green chilli paste, sugar, turmeric powder, curds, salt and soda-bi-carb in a bowl, mix well and knead into a soft dough, using 1¾ cups of water. Keep aside.
Grease your hands with ¼ tsp of oil, divide the mixture into 12 equal portions and shape each portion into a 50 mm. (2”) cylindrical roll.
Grease a microwave safe dish with ¼ tsp of oil, place 4 rolls at an even distance, cover with a wet muslin cloth and microwave on high for 3 minutes.
Repeat step 3 twice to get 8 more rolls.
Cool slightly and cut each roll into 12 mm. (½”) slices and keep aside.
For the tempering, add the remaining 2 tsp of oil in a microwave safe bowl and microwave on high for 30 seconds. Add the mustard seeds and microwave on high for 30 seconds.
Add the sesame seeds and asafoetida and microwave on high for 1 minute.
Add the muthia pieces, toss well and microwave on high for 2 minutes, stirring once in between after 1 minute.
Serve immediately garnished with coriander.","Gujarati  Dry Snacks
Microwave Indian Snack
Microwave","Preparation Time: 15 mins, Cooking Time: 13 mins, Total Time: 28 mins ,         ",36
2,https://www.tarladalal.com/recipes-for-veg-recipes-gujarati-24?pageindex=7,Dahiwali Toovar Dal,https://www.tarladalal.com/dahiwali-toovar-dal-22168r,Dahiwali Toovar Dal recipe - How to make Dahiwali Toovar Dal,"For Dahiwali Toovar Dal:
 1/2 cup toovar (arhar) dal
 salt to taste
 1/2 tsp turmeric powder (haldi)
 1/2 tsp besan (bengal gram flour)
 1/2 cup low-fat curds (dahi)
 1 tsp cumin seeds (jeera)
 1/2 cup finely chopped onions
 1 1/2 tsp chilli powder
 2 tsp coriander (dhania) powder
 1 tsp cumin seeds (jeera) powder
 For The Garnish:
 2 tbsp finely chopped coriander (dhania)","For dahiwali toovar dal
To make 
dahiwali toovar dal
, clean, wash and soak the toovar dal in enough water in a deep bowl for 2 hours and drain well.
Combine the toovar dal, salt, turmeric powder and 1 cup of water in a pressure cooker, mix well and pressure cook for 2 whistles.
Allow the steam to escape before opening the lid. Keep aside.
Combine the besan and curds in a small bowl, whisk well and keep aside.
Heat a deep non-stick pan on a medium flame and when hot, add the cumin seeds and dry roast for about 30 seconds.
Add the onions and dry roast for 1 to 2 minutes or till they turn light brown in colour. Sprinkle a little water if the mixture starts burning.
Add the cooked dal, chilli powder, coriander powder and cumin seeds powder, mix well and cook on a medium flame for 1 minute, while stirring occasionally.
Lower the flame, add the curds-besan mixture, ½ cup of water and little salt and mix well. Cook on a slow flame for another 1 to 2 minutes, while stirring occasionally.
Serve the 
 immediately garnished with coriander.","Collection of Gujarati Dals / Kadhis
 Popular Dals from all over India
Indian Party
Non-stick Pan
Indian Pulses
Dal for lunch, Indian lentils for lunch
Gujarati Dinner","Preparation Time: 10 mins, Cooking Time: 16 mins, Total Time: 2 hours 26 minutes, Soaking Time:  2 hours           ",3
3,https://www.tarladalal.com/recipes-for-veg-recipes-gujarati-24?pageindex=7,Grated Amla Murabba,https://www.tarladalal.com/grated-amla-murabba-3428r,Grated Amla Murabba recipe - How to make Grated Amla Murabba,"For Grated Amla Murabba:
 4 amlas (indian gooseberries)
 1/2 cup sugar
 a few saffron (kesar) strands
 1/8 tsp cardamom (elaichi) powder","For grated amla murabba
To make 
grated amla murabba
, grate the amlas, discard the seeds and keep aside.
Dissolve the sugar in 1½ cups of water.
Add the grated amlas to the syrup and cook over a very slow flame till the amlas are cooked and the syrup is thick (one string consistency).
Add the saffron and cardamom powder and mix well.
Cool completely and bottle in a sterilised glass jar.
This 
 can be stored for upto 1 year.","Gujarati Kachumber / Chutneys / Achar
Jain Pickles / Chutneys / Raita / Salad
Pickles / Achar
Sugar Based Pickles
Foods to cook in November
Foods to cook in December
Indian Winter Sabzis, Foods to cook in January","Preparation Time: 15 mins, Cooking Time: 20 mins, Total Time: 35 mins , Storage:   Upto 1 year           ",Makes 0.5 servings
4,https://www.tarladalal.com/recipes-for-veg-recipes-gujarati-24?pageindex=7,"Kand Stir Fry, Purple Yam Stir Fry",https://www.tarladalal.com/kand-stir-fry-purple-yam-stir-fry-213r,"Kand Stir Fry, Purple Yam Stir Fry recipe - How to make Kand Stir Fry, Purple Yam Stir Fry","For Kand Stir Fry:
 2 1/2 cups purple yam (kand) strips
 2 tbsp oil
 1/2 tsp cumin seeds (jeera)
 a pinch of asafoetida (hing)
 2 tsp finely chopped green chillies
 1/4 cup roasted and coarsely crushed peanuts
 2 tbsp finely chopped coriander (dhania)
 1 tsp lemon juice
 salt to taste","For kand stir fry
To make 
kand stir fry
, steam the kand strips in a steamer for 8 minutes. Keep aside.
Heat the oil in a broad non-stick pan and add the cumin seeds.
When the seeds crackle, add the asafoetida and green chillies and sauté on a medium flame for 30 seconds.
Add the kand, peanuts, coriander, lemon juice and salt, mix well and cook on a medium flame for 2 to 3 minutes, while tossing occasionally.
Serve the 
 immediately.","Gujarati Farsans
Gujarati Shaak Sabzi
Dinner
Evening Tea Snacks
Sukhi Sabzis
Indian Tawa
Tava","Preparation Time: 20 mins, Cooking Time: 4 mins, Total Time: 24 mins ,         ",3
5,https://www.tarladalal.com/recipes-for-veg-recipes-gujarati-24?pageindex=7,Jowar Dhani Popcorn with Coconut and Peanuts,https://www.tarladalal.com/jowar-dhani-popcorn-with-coconut-and-peanuts-42789r,Jowar Dhani Popcorn with Coconut and Peanuts recipe - How to make Jowar Dhani Popcorn with Coconut and Peanuts,"Jowar Dhani Popcorn With Coconut and Peanuts:
 2 1/2 cups jowar puff (dhani)
 1 1/2 tbsp coconut oil or peanut oil
 1 tsp mustard seeds ( rai / sarson)
 2 tbsp raw peanuts
 1/4 cup dry coconut (kopra) slices
 1/4 tsp turmeric powder (haldi)
 1/2 tsp chilli powder
 1/4 tsp asafoetida (hing)
 salt to taste","Jowar dhani popcorn with coconut and peanuts
Put the jowar dhani into a microwave safe bowl and microwave on high for 2 minutes, while stirring after every 30 seconds. Keep aside.
Heat the coconut oil in the deep non-stick pan, add the mustard seeds.
When the seeds crackle, add the peanuts and sauté on a medium flame for 1 minute.
Add the coconut and sauté on a medium flame for 2 minutes.
Add the turmeric powder, chilli powder, asafoetida, jowar dhania and salt, mix it well and cook on a medium flame for 2 to 3 minutes ,while stirring continuously.
Cool the 
jowar dhani chivda with coconut and peanuts
 completely and store in an air-tight container. Use as required.","Gujarati  Dry Snacks
Jain Naashta
Indian Jar Snacks
Evening Tea Snacks
Holi recipes
Indian Foods to cook in March","Preparation Time: 5 mins, Cooking Time: 9 mins, Total Time: 14 mins ,         ",3
6,https://www.tarladalal.com/recipes-for-veg-recipes-gujarati-24?pageindex=7,Sabudana Vada (  Faraal Recipe),https://www.tarladalal.com/sabudana-vada---faraal-recipe-32540r,Sabudana Vada (  Faraal Recipe) recipe - How to make Sabudana Vada (  Faraal Recipe),"For Sabudana Vada:
 1 1/2 cups soaked sago (sabudana) , refer handy tip
 1 1/4 cups boiled , peeled and mashed potatoes
 1/2 cup roasted and coarsely crushed peanuts
 2 tsp green chilli paste
 1 tsp lemon juice
 2 tsp sugar
 salt to taste
 oil for deep-frying
 For Serving:
 1 cup fresh curd (dahi) , mixed with 3 tbsp powdered sugar","For sabudana vada
To make 
sabudana vada
, combine all the remaining ingredients in a bowl and mix well.
Divide the mixture into 12 equal portions and shape each portion into a 50 mm. (2”) diameter flat round. Keep aside.
Heat the oil in a kadhai and deep-fry the wadas on a medium flame till they turn brown in colour from both the sides. Drain on absorbent paper.
Serve the 
 hot with fresh sweet curd.
Handy tip:
For 1 ½ cups of soaked sago, wash ½ cup of raw sago, drain and then soak them in ¾ cup of water for 4 to 5 hours, or till they swell and turn soft.","Gujarati  Faral, Faraal
Maharashtrian Upvas (Fasting)
Indian Snacks for Entertaining
Evening Tea Snacks
Sankashti Chaturthi Recipes
Mahashivaratri
Janmashtami","Preparation Time: 10 mins, Cooking Time: 20 mins, Total Time: 5 hours 30 minutes, Soaking time:  4 to 5 hours           ",12
7,https://www.tarladalal.com/recipes-for-veg-recipes-gujarati-24?pageindex=7,"Methia Keri, Gujarati Mango Pickle Recipe",https://www.tarladalal.com/methia-keri-gujarati-mango-pickle-recipe-3432r,"Methia Keri, Gujarati Mango Pickle Recipe recipe - How to make Methia Keri, Gujarati Mango Pickle Recipe","For The Raw Mango:
 1 1/2 cups raw mango cubes
 2 tbsp sea salt (khada namak)
 1/4 tsp turmeric powder (haldi)
 Other Ingredients For Methia Keri:
 3/4 cup mustard (rai / sarson) oil
 1/4 cup split fenugreek seeds (methi na kuria)
 1/4 cup split mustard seeds (rai na kuria)
 1/2 cup sea salt (khada namak)
 5 tbsp chilli powder
 1 1/2 tsp asafoetida (hing)
 1/2 tsp turmeric powder (haldi)","For the raw mango
Combine the raw mango, sea salt and turmeric powder, mix well and cover with a lid and keep aside for 1 hour. Squeeze out all the excess water.
Take a big flat round plate, put a muslin cloth on top and evenly spread the raw mango cubes on it and allow to dry under fan or sunlight for 1 hour. Keep aside.
How to proceed
To make 
methia keri
, heat the oil in a small broad non-stick pan on a high flame for 2 to 3 minutes or till it releases an aroma. Keep aside to cool.
Combine all the remaining ingredients in a deep bowl and mix well.
Add the dried raw mango cubes to the prepared mixture and mix well.
Pour the mustard oil over the raw mango mixture and mix well.
Put the 
 in an air tight container and keep at room temperature for 2 days and then refrigerate.","Gujarati Kachumber / Chutneys / Achar
Pickles / Achar
Spicy Achar
Indian Party","Preparation Time: 10 mins, Cooking Time: 3 mins, Total Time: 13 mins ,         ",2
8,https://www.tarladalal.com/recipes-for-veg-recipes-gujarati-24?pageindex=7,"Makai Dhokla, Gujarati Makai na Dhokla",https://www.tarladalal.com/makai-dhokla-gujarati-makai-na-dhokla-1981r,"Makai Dhokla, Gujarati Makai na Dhokla recipe - How to make Makai Dhokla, Gujarati Makai na Dhokla","For Makai Dhokla:
 1 cup maize flour (makai ka atta)
 1/2 cup sweet corn kernels (makai ke dane)
 1/2 cup curds (dahi)
 2 tsp ginger-green chilli paste
 1/4 tsp asafoetida (hing)
 1/4 tsp turmeric powder (haldi)
 2 tsp sugar
 1 tsp lemon juice
 salt to taste
 2 tsp oil
 1 tsp fruit salt
 For The Tempering:
 1 tbsp oil
 1 tsp mustard seeds ( rai / sarson)
 1 tsp sesame seeds (til)
 a pinch of asafoetida (hing)
 For The Garnish:
 1 tbsp finely chopped coriander (dhania)
 For Serving With Makai Dhokla:
 green chutney","For makai dhokla
To make 
makai dhokla
, combine the maize flour, curds and ¾ cup of warm water in a deep bowl and mix well. Cover it with a lid and keep aside for 30 minutes.
Add the sweet corn, ginger-green chilli paste, asafoetida, turmeric powder, sugar, lemon juice, salt and oil and mix well.
Just before steaming, sprinkle fruit salt over the batter and mix lightly.
Pour the batter into a greased 175 mm. (7”) diameter thali.
Steam in a steamer for 15 minutes or till the dhoklas are cooked. Keep aside to cool slightly.
Once cooled, cut it into 18 diamond shaped pieces and keep aside.
Heat the oil in a small non-stick pan and add the mustard seeds.
When the mustard seeds crackle, add the sesame seeds and asafoetida and sauté on a medium flame for 30 seconds.
Pour this tempering over the prepared dhoklas and spread it evenly.
Sprinkle the coriander evenly on top.
Serve the 
 hot with green chutney.","Gujarati Farsans
Gujarati Breakfast
Breakfast Dhokla
Indian Snacks for Entertaining
Indian Steamed Snacks
School Time Snacks
Evening Tea Snacks","Preparation Time: 10 mins, Cooking Time: 16 mins, Total Time: 26 mins ,         ",3
9,https://www.tarladalal.com/recipes-for-veg-recipes-gujarati-24?pageindex=7,Khatta Moong ( Gujarati Recipe),https://www.tarladalal.com/khatta-moong--gujarati-recipe-617r,Khatta Moong ( Gujarati Recipe) recipe - How to make Khatta Moong ( Gujarati Recipe),"For Khatta Moong:
 1 cup moong (whole green gram)
 1 cup sour curds (khatta dahi) , whisked
 3/4 tsp chilli powder
 1/2 tsp turmeric powder (haldi)
 1 tbsp besan (bengal gram flour)
 2 tbsp oil
 1 tsp mustard seeds ( rai / sarson)
 3 to 4 curry leaves (kadi patta)
 1/4 tsp asafoetida (hing)
 1/2 tsp ginger-green chilli paste
 salt to taste
 For The Garnish:
 2 tbsp finely chopped coriander (dhania)
 For Serving With Khatta Moong:
 rice (chawal) /roti","For khatta moong
To make 
khatta moong
, wash and soak the whole moong in enough water for 2 to 3 hours. Drain.
Add 1½ cups of water and pressure cook for 2 whistles.
Allow the steam to escape before opening the lid. Keep aside.
Combine the sour curds, chilli powder, turmeric powder and besan in a bowl and mix well. Keep aside.
Heat the oil in a deep non-stick kadhai and add the mustard seeds, curry leaves, asafoetida and ginger-green chilli paste and sauté on a medium flame for a few seconds.
Add the cooked moong, mix well and cook on a medium flame for 1 minute.
Add the curds-besan mixture, salt and 1 cup of water, mix well and simmer for 3 to 4 minutes, while stirring occasionally.
Garnish the 
 with coriander and serve immediately with rice or roti.","Collection of Gujarati Dals / Kadhis
Gujarati Kathols
 Popular Dals from all over India
Non Stick Kadai Veg
Quick Dals / quick Kadhis
Healthy Sabzis with Sprouts and Beans
Indian Pulses","Preparation Time: 5 mins, Cooking Time: 15 mins, Total Time: 20 mins ,         ",4
